Scientific Name,Common Name,Taxon,Subtaxon,Lead Region,State,Q#,Q-Text,Y/N,Explanation,Source,Other info,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ",n,,,,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?",y,"Delannoy (1992) reported that broad-winged hawks were observed to be clustered in the north-central part of the forest within the subtropical wet forest and subtropical rain forest life zones, where the tabonuco is the dominant forest type.
",Recovery plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf),,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?",y,"Species is currently threatened by mortality and habitat destruction from hurricanes.
",Recovery plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf),,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?",y,"Endemic to the island of Puerto Rico, are currently restricted to montane forests along the Cordillera Central, Sierra de Cayey, and Sierra de Luquillo.",Recovery plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf),,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?",y,"The Puerto Rican sharp-shinned hawk is also affected by warble fly parasitism.
",Recovery plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf),,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?",n,,,,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ",n,,,,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ",n,,,,,,,,,,,,,,,
Accipiter striatus venator,"Hawk, Puerto Rican sharp-shinned",Vertebrate,Bird,Region 4,PR,9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n ,Recovery plan is from 1997; no critical habitat designation or completed Five-year review available.,Recovery Plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf),,,,,,,,,,,,,
Achatinella mustelina,"Snail, Oahu tree",Invertebrate,mollusc,Region 1,HI,1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ",y, Juvenile mortality was much higher during hot dry summer months than during the wet and cooler winter months (Hadfield et al. 1993) This increase in mortality is attributed to desiccation due to increased temperature (>21ºC) and reduced precipitation (<5 cm per month) during summer months.,5-year review (http://ecos.fws.gov/docs/five_year_review/doc3903.pdf),NOTE: This genus was listed en masse and contains 41 species. Many are likely extinct in the wild. This assessment covers the most abundant of the 41 species.,,,,,,,,,,,,
