Scientific Name,Common Name,Taxon,Subtaxon,Lead Region,State,Q#,Q-Text,Y/N,Explanation,Source,Other info,Date of most recent doc,
Balaena mysticetus,"Whale, bowhead",Vertebrate,Mammal,NMFS,AK,9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,No recovery information available.,https://www.fisheries.noaa.gov/species/bowhead-whale#management,,1970,
Empetrichthys latos,"Poolfish, Pahrump",Vertebrate,Fish,Region 8,NV,9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,Recovery plan is from 1980; no other documents available.,Recovery plan: https://ecos.fws.gov/docs/recovery_plan/060628.pdf,,1980,
Gambusia nobilis,"Gambusia, Pecos",Vertebrate,Fish,Region 2,"NM, TX",9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,"Recovery plan is from 1983 and no other documents are available (no critical habitat, no five year review conducted).",Recovery plan: https://ecos.fws.gov/docs/recovery_plan/051220a.pdf,,1983,
Quadrula sparsa,"Monkeyface, Appalachian",Invertebrate,mollusc,Region 5,"AL, TN, VA",9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,Recovery plan is from 1984; most recent document is  for 2007 experimental population; climate not mentioned.,Recovery plan: https://ecos.fws.gov/docs/recovery_plan/840709.pdf,,1984,
Lampsilis abrupta,"Mucket, pink",Invertebrate,mollusc,Region 4,"AL, AR, IL, KY, LA, MO, OH, TN, VA, WV",9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,Recovery plan is from 1985. No other recovery documents available.,Recovery plan: https://ecos.fws.gov/docs/recovery_plan/pink%20mucket%20rp.pdf,,1985,
Orconectes shoupi,"Crayfish, Nashville",Invertebrate,crustacean,Region 4,TN,9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,Most recent document is 1989 recovery plan.,http://ecos.fws.gov/docs/recovery_plan/890208.pdf,,1989,
Pleurobema collina,"Spinymussel, James ",Invertebrate,mollusc,Region 5,"NC, VA, WV",9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,"Recovery plan is from 1990, no more recent documents available.",Recovery plan: https://ecos.fws.gov/docs/recovery_plan/900924b.pdf,,1990,
Cyprinodon diabolis,"Pupfish, Devils Hole",Vertebrate,Fish,Region 8,NV,9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,Recovery plan is from 1990 and no other documents are available.,Recovery plan: https://ecos.fws.gov/docs/recovery_plan/900928d.pdf,,1990,
Cyprinodon nevadensis pectoralis,"Pupfish, Warm Springs",Vertebrate,Fish,Region 8,NV,9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,Recovery plan is from 1990 and no other documents are available.,Recovery plan: https://ecos.fws.gov/docs/recovery_plan/900928d.pdf,,1990,
Cyprogenia stegaria,Fanshell,Invertebrate,mollusc,Region 4,"AL, IL, IN, KY, OH, TN, VA, WV",9,Is climate change discussed as a threat/addressed with concrete actions in recovery materials?,n,"Recovery plan is from 1991, no mention of climate in 2007 notice of establishment of EXP/NE population, no other documents available.",Recovery plan: https://ecos.fws.gov/ecp0/reports/implementation-activity-status-ore-report?documentId=600110&entityId=368,,1991,
