"","Scientific_Name","CC_Discuss","Discuss_Level","Date","Common_Name","Taxon","Subtaxon","Lead_Region","State"
"1","Accipiter striatus venator","No","No discussion",1997,"Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR"
"2","Achatinella mustelina","Yes","No discussion",2009,"Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI"
"3","Acipenser brevirostrum","No","No discussion",1998,"Sturgeon, shortnose","Vertebrate","Fish","NMFS: Marine","DE, FL, GA, ME, MD, MA, NJ, NY, NC, PA, RI, SC, VA"
"4","Acipenser oxyrinchus oxirinchus","No","No discussion",2017,"Sturgeon, Atlantic","Vertebrate","Fish","NMFS: Marine","CT, DC , DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, PA, RI, SC, VA"
"5","Acipenser transmontanus","No","No discussion",2014,"Sturgeon, white","Vertebrate","Fish","FWS Region 1: Pacific","AK, AZ, CA, ID, MT, OR, WA"
"6","Acrocephalus familiaris kingi","No","No discussion",2010,"Millerbird, Nihoa","Vertebrate","Bird","FWS Region 1: Pacific","HI"
"7","Acrocephalus luscinia","Yes","Further study",2015,"Warbler, nightingale reed","Vertebrate","Bird","FWS Region 1: Pacific","NMI"
"8","Adelocosa anops","No","No discussion",2006,"Spider, Kauai cave wolf or pe'e pe'e maka 'ole","Invertebrate","Arthropod","FWS Region 1: Pacific","HI"
"9","Aerodramus vanikorensis bartschi","No","No discussion",2008,"Swiftlet, Mariana gray ","Vertebrate","Bird","FWS Region 1: Pacific","GU, NMI"
"10","Agelaius xanthomus","No","No discussion",2011,"Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR"
"11","Alasmidonta atropurpurea","Yes","No discussion",2015,"Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN"
"12","Alasmidonta heterodon","No","No discussion",2007,"Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA"
"13","Alasmidonta raveneliana","No","No discussion",2009,"Elktoe, Appalachian","Invertebrate","Mollusk","FWS Region 4: Southeast","NC, TN"
"14","Amazona vittata","No","No discussion",2008,"Parrot, Puerto Rican","Vertebrate","Bird","FWS Region 4: Southeast","PR"
"15","Amblema neislerii","No","No discussion",2007,"Three-ridge (mussel), fat","Invertebrate","Mollusk","FWS Region 4: Southeast","FL, GA"
"16","Ambystoma bishopi","Yes","Action",2015,"Salamander, flatwoods reticulated","Vertebrate","Amphibian","FWS Region 4: Southeast","FL, GA"
"17","Ambystoma californiense","Yes","No discussion",2014,"Salamander, California tiger","Vertebrate","Amphibian","FWS Region 8: Pacific Southwest","CA"
