"","Scientific_Name","Common_Name","Taxon","Subtaxon","Lead_Region","State","Q_n","Question","Explanation","Source","Factor","Sensitive"
"1","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Delannoy (1992) reported that broad-winged hawks were observed to be clustered in the north-central part of the forest within the subtropical wet forest and subtropical rain forest life zones, where the tabonuco is the dominant forest type.
","recovery plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf)","Hydrology","Yes"
"3","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Species is currently threatened by mortality and habitat destruction from hurricanes.
","recovery plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf)","Disturbance","Yes"
"4","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Endemic to the island of Puerto Rico, are currently restricted to montane forests along the Cordillera Central, Sierra de Cayey, and Sierra de Luquillo.","recovery plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf)","Isolation","Yes"
"5","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","The Puerto Rican sharp-shinned hawk is also affected by warble fly parasitism.
","recovery plan (http://ecos.fws.gov/docs/recovery_plan/970908.pdf)","Injurious species","Yes"
"6","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"7","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"8","Accipiter striatus venator","Hawk, Puerto Rican sharp-shinned","Vertebrate","Bird","FWS Region 4: Southeast","PR",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"10","Achatinella mustelina","Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? "," Juvenile mortality was much higher during hot dry summer months than during the wet and cooler winter months (Hadfield et al. 1993) This increase in mortality is attributed to desiccation due to increased temperature (>21ºC) and reduced precipitation (<5 cm per month) during summer months.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3903.pdf)","Temperature","Yes"
"11","Achatinella mustelina","Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?"," Juvenile mortality was much higher during hot dry summer months than during the wet and cooler winter months (Hadfield et al. 1993) This increase in mortality is attributed to desiccation due to increased temperature (>21ºC) and reduced precipitation (<5 cm per month) during summer months.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3903.pdf)","Hydrology","Yes"
"12","Achatinella mustelina","Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Sensitive to both hurricanes and to fire.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3903.pdf)","Disturbance","Yes"
"13","Achatinella mustelina","Snail, Oahu tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Island endemic confined to one mountain range. Further fine-scale fragmentation has occurred.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3903.pdf)","Isolation","Yes"
